ID,Item title,Final URL,Image URL,Item description,Price
86410644,2BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/9NKWG7XWGBRTNKRB4AVMRMWFZM/en,https://static.shared.propertyfinder.eg/media/images/listing/9NKWG7XWGBRTNKRB4AVMRMWFZM/77d395a9-a145-4e8b-a03c-9225ce5d909c/1312x894.jpg?v=2f789faf8c1e3072b7df7d46adad9afa,See the details of this Apartment for Sale in Mountain View Hyde Park.,7800000
86410633,2BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/PX558ZABMJ38147S3VP7T0EN6R/en,https://static.shared.propertyfinder.eg/media/images/listing/PX558ZABMJ38147S3VP7T0EN6R/12318298-8d06-4a3c-a192-d7ad131ae729/1312x894.jpg?v=a7faabd9a1c8c202a275a3470c729744,See the details of this Apartment for Sale in Garden Residence.,4075000
86410616,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/M7TK4ENPWGT1CCQ8JRFDR9TT3C/en,https://static.shared.propertyfinder.eg/media/images/listing/M7TK4ENPWGT1CCQ8JRFDR9TT3C/4c37243b-8b34-47f2-a424-e4bb78d89367/1312x894.jpg?v=fe2300ac8eafb6b7daae3fa864632bda,See the details of this Apartment for Sale in Garden Residence.,8630000
86410588,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/RB02ZWMNE1S2YT3BJ940RZVBPM/en,https://static.shared.propertyfinder.eg/media/images/listing/RB02ZWMNE1S2YT3BJ940RZVBPM/1bb8af9b-5477-4eaa-9a28-629771c24e88/1312x894.jpg?v=2f789faf8c1e3072b7df7d46adad9afa,See the details of this Apartment for Sale in Mountain View Hyde Park.,9000000
86410575,5BR Townhouse for Sale in New Cairo City,https://www.propertyfinder.eg/to/S83C77NW8ZRYXXWNVXJE34AM9C/en,https://static.shared.propertyfinder.eg/media/images/listing/S83C77NW8ZRYXXWNVXJE34AM9C/af3c4d6c-41dc-46a2-b9fd-b07412588a33/1312x894.jpg?v=9a8c6d5f6d328b4fd779f9302268a9a0,See the details of this Townhouse for Sale in Katameya Gardens.,16500000
86410563,3BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/H51SF1S0BY4CMC0MC9X9FBK80C/en,https://static.shared.propertyfinder.eg/media/images/listing/H51SF1S0BY4CMC0MC9X9FBK80C/e019e033-8c3b-49f1-a80b-ca7d5196f233/1312x894.jpg?v=902f01280928e6c38cab687f42665d66,See the details of this Apartment for Sale in Mountain View iCity.,5750000
86410551,2BR Chalet for Sale in Ras Al Hekma,https://www.propertyfinder.eg/to/03VCDP486PTZ03Q2WS080DSCYR/en,https://static.shared.propertyfinder.eg/media/images/listing/03VCDP486PTZ03Q2WS080DSCYR/0a07e788-6382-4374-97cd-b2f0fd84171b/1312x894.jpg?v=294fee20103c3c9e020281311c951e61,See the details of this Chalet for Sale in Seashore.,5000000
86410514,1BR Chalet for Sale in Ras Al Hekma,https://www.propertyfinder.eg/to/SXP0G5W28YW3HS51DNSFTSDGXG/en,https://static.shared.propertyfinder.eg/media/images/listing/SXP0G5W28YW3HS51DNSFTSDGXG/b4e58106-64a0-450a-b973-308852fdeed9/1312x894.jpg?v=6511ddad154062b9d0a4f0d6207664e8,See the details of this Chalet for Sale in Seashore.,4750000
86410483,3BR Villa for Sale in New Cairo City,https://www.propertyfinder.eg/to/2STY99M968AZHVB50JW4KMVTV4/en,https://static.shared.propertyfinder.eg/media/images/listing/2STY99M968AZHVB50JW4KMVTV4/37b435f5-5ae5-4757-ad35-0706c8b503ff/1312x894.jpg?v=295764557e15e46515149672f57d4f9c,See the details of this Villa for Sale in Mountain View iCity.,16000000
86410467,2BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/KC79WD36T4GEZZ3KKVKGVQQHKM/en,https://static.shared.propertyfinder.eg/media/images/listing/KC79WD36T4GEZZ3KKVKGVQQHKM/2a1310f0-c441-4aaf-a435-a96f58addb4d/1312x894.jpg?v=2b13dabb469b5249f2e3f4746a98af51,See the details of this Apartment for Sale in Regent's Square.,4000000
86410275,4BR Duplex for Sale in Sheikh Zayed City,https://www.propertyfinder.eg/to/DSE367G0T34YAKKJCYAWASQXB0/en,https://static.shared.propertyfinder.eg/media/images/listing/DSE367G0T34YAKKJCYAWASQXB0/b215a038-ba47-406d-9da2-743cbfe95a2b/1312x894.jpg?v=88e7467dd6a87c146d4b653c2bdfd1b4,See the details of this Duplex for Sale in Al  Rabwa.,5000000
86410072,6BR Villa for Sale in Sidi Abdel Rahman,https://www.propertyfinder.eg/to/TVWP3AYRJ61GKZ28KQ93ZTEXD0/en,https://static.shared.propertyfinder.eg/media/images/listing/TVWP3AYRJ61GKZ28KQ93ZTEXD0/221aadcf-6683-4473-9b02-29e0852ac8b2/1312x894.jpg?v=9eb5df13052b6dc5ff431046db120bee,See the details of this Villa for Sale in Hacienda Bay.,19990000
86409946,3BR Chalet for Sale in Qesm Ad Dabaah,https://www.propertyfinder.eg/to/0RRXA112KYXC2H8B9T2TB00JJW/en,https://static.shared.propertyfinder.eg/media/images/listing/0RRXA112KYXC2H8B9T2TB00JJW/33d54e06-e39c-4e76-8d77-868fb75fddcd/1312x894.jpg?v=1bdf72ae03306d4593183fe84491e8be,See the details of this Chalet for Sale in La Vista Bay.,3000000
86409926,3BR Chalet for Sale in Sidi Abdel Rahman,https://www.propertyfinder.eg/to/C31CBBPYFWNJN62FAYQQJ224B4/en,https://static.shared.propertyfinder.eg/media/images/listing/C31CBBPYFWNJN62FAYQQJ224B4/8424b035-6878-4200-aa59-344f3503e2b8/1312x894.jpg?v=f170e1a0e82d4507d1b1f3938ebeae3a,See the details of this Chalet for Sale in Marassi.,2280000
86409874,3BR Chalet for Sale in Sidi Abdel Rahman,https://www.propertyfinder.eg/to/V67GT67PJFYD9FT8BN7651SYP0/en,https://static.shared.propertyfinder.eg/media/images/listing/V67GT67PJFYD9FT8BN7651SYP0/5be9f324-98b7-4047-9a5c-ab630b4979be/1312x894.jpg?v=43e2f16a210846c87651167575917b38,See the details of this Chalet for Sale in Marassi.,20500000
86408891,3BR Duplex for Sale in Mostakbal City - Future City,https://www.propertyfinder.eg/to/Q3C948DS1TH3EMS7DQ6TAAQ79M/en,https://static.shared.propertyfinder.eg/media/images/listing/Q3C948DS1TH3EMS7DQ6TAAQ79M/cccab3cf-609e-400c-8717-7a182b328ae6/1312x894.jpg?v=e14f99eb0934d4e40b27b1eb6edeb93a,See the details of this Duplex for Sale in Neopolis   Wadi Degla.,4620000
86408865,4BR Villa for Sale in New Heliopolis,https://www.propertyfinder.eg/to/KZCGFAFVZEQ3DWCTCJ1G2YHHCW/en,https://static.shared.propertyfinder.eg/media/images/listing/KZCGFAFVZEQ3DWCTCJ1G2YHHCW/49653b83-19d2-42a6-9f34-345604049eee/1312x894.jpg?v=7d93b3cd1843b7e103c415a45ade9a88,See the details of this Villa for Sale in Sodic East.,26851000
86408718,4BR Villa for Sale in New Cairo City,https://www.propertyfinder.eg/to/MC7EJQHW9RBQF18N98K1PG0KDC/en,https://static.shared.propertyfinder.eg/media/images/listing/MC7EJQHW9RBQF18N98K1PG0KDC/fb2f9e2e-075c-49ab-af43-f1c72d1684d8/1312x894.jpg?v=41e5bfd8c5b23c78ea1c1de3cb900f32,See the details of this Villa for Sale in Palm Hills New Cairo.,23000000
86408700,Retail Space for Sale in New Capital City,https://www.propertyfinder.eg/to/8VCC9H22WXHAARFPJEEHSPEQW0/en,https://static.shared.propertyfinder.eg/media/images/listing/8VCC9H22WXHAARFPJEEHSPEQW0/17bf4655-90cc-412f-9bdb-e6b5ef500526/1312x894.jpg?v=1672b9d07e576b62aab14f9a7286f803,See the details of this Retail Space for Sale in La Vista City.,2500000
86408679,3BR Apartment for Sale in Mostakbal City - Future City,https://www.propertyfinder.eg/to/1RWGDASZJY2H3YCBV16CD0W1NC/en,https://static.shared.propertyfinder.eg/media/images/listing/1RWGDASZJY2H3YCBV16CD0W1NC/99f2d2f5-3d04-49e8-a9cc-0ca641df5808/1312x894.jpg?v=9cea70ff77d3887427103693c41b71f1,See the details of this Apartment for Sale in La Mirada El Mostakbal.,4738000
86408519,1BR Apartment for Sale in New Cairo City,https://www.propertyfinder.eg/to/7KTSQ7FMEMKGEG1WYESW8N6010/en,https://static.shared.propertyfinder.eg/media/images/listing/7KTSQ7FMEMKGEG1WYESW8N6010/d51e6293-e39d-4ebf-af09-db8f20953827/1312x894.jpg?v=575bcc4451d91a5d91c6ac115c94f67d,See the details of this Apartment for Sale in Shalya Taj City.,3600000
86408502,Shop for Sale in New Capital City,https://www.propertyfinder.eg/to/FFQDZXDCWPN5YZ57ARQ2QQVPP8/en,https://static.shared.propertyfinder.eg/media/images/listing/FFQDZXDCWPN5YZ57ARQ2QQVPP8/f5fb5602-5a34-46ef-aa32-1ea69cc2620e/1312x894.jpg?v=1672b9d07e576b62aab14f9a7286f803,See the details of this Shop for Sale in La Vista City.,1500000
86408457,2BR Chalet for Sale in Qesm Marsa Matrouh,https://www.propertyfinder.eg/to/HH54T97GHN7EVDH5HF00VQKZ88/en,https://static.shared.propertyfinder.eg/media/images/listing/HH54T97GHN7EVDH5HF00VQKZ88/61d704c2-ef77-4dcc-87bd-e1e94cd9f146/1312x894.jpg?v=308b93ac7a5f50b3cf6132f7ab53e91b,See the details of this Chalet for Sale in Silver Sands.,2000000
86408322,1BR Chalet for Sale in Qesm Marsa Matrouh,https://www.propertyfinder.eg/to/APGP9VF4PDTA2G4ZBGPTYM64M0/en,https://static.shared.propertyfinder.eg/media/images/listing/APGP9VF4PDTA2G4ZBGPTYM64M0/5430ba41-d097-421c-9119-105b7953692f/1312x894.jpg?v=5ed9ed3a2203bf554eb03ebbcb62d4d0,See the details of this Chalet for Sale in Cecilia Lagoons.,2850000
86408227,3BR Apartment for Sale in Sheikh Zayed City,https://www.propertyfinder.eg/to/6KW1984NXQ4YJ0RBR2MGBD73VW/en,https://static.shared.propertyfinder.eg/media/images/listing/6KW1984NXQ4YJ0RBR2MGBD73VW/d4b5cb04-f9db-4dbb-8ed4-fb96d5deef1f/1312x894.jpg?v=64f6f8c8e7358f17bedc8046299e21ab,See the details of this Apartment for Sale in Six West.,3700000
86408074,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/DDEEW6GZWQ89TCH3XSQNFHY9Q4/en,https://static.shared.propertyfinder.eg/media/images/listing/DDEEW6GZWQ89TCH3XSQNFHY9Q4/481dd299-e035-4de7-8be5-fa6576c65b99/1312x894.jpg?v=95388f9aceb0b67db233b023e058ca52,See the details of this Apartment for Sale in Suli Golf Residence.,4500000
86408060,3BR Apartment for Sale in New Capital City,https://www.propertyfinder.eg/to/0C0Z9BN6JNQ7Z1QA3SRKH5XRRC/en,https://static.shared.propertyfinder.eg/media/images/listing/0C0Z9BN6JNQ7Z1QA3SRKH5XRRC/1d227a38-4be3-468a-bb60-7fff470eaa78/1312x894.jpg?v=7b4ac4d8bd84e4ff50c73138564dcede,See the details of this Apartment for Sale in De Joya.,5000000
